,Class,Fe,Cr,Ni,Mo,Mn,C,Ti,Si,Nb,V,P,B,Al,N,S,Co,Cu,W,As,Temperature,HT stage 1 name,HT stage 1 temperature,HT stage 1 duration,HT stage 1 cooling,HT stage 2 name,HT stage 2 temperature,HT stage 2 duration,HT stage 2 cooling,HT stage 3 name,HT stage 3 temperature,HT stage 3 duration,HT stage 3 cooling,AH stage 1 temperature,AH stage 1 duration,AH stage 2 temperature,AH stage 2 duration,long-therm strength,long-therm strength time
516,A,69.275,18.0,8.75,0.0,2.0,0.12,0.7,0.8,0.0,0.0,0.035,0.0,0.0,0.0,0.02,0.0,0.3,0.0,0.0,600.0,Quenching,1060.0,1.9,500.0,Dummy,30.0,1.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,149.5,10000.0
516,A,69.275,18.0,8.75,0.0,2.0,0.12,0.7,0.8,0.0,0.0,0.035,0.0,0.0,0.0,0.02,0.0,0.3,0.0,0.0,600.0,Quenching,1060.0,1.9,500.0,Dummy,30.0,1.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,149.5,10000.0
775,A,70.6475,16.0,9.5,2.0,1.5,0.02,0.0,0.3,0.0,0.0,0.015,0.005,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,500.0,Austenization,1075.0,4.0,3.0,Dummy,30.0,1.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,188.0,100000.0
588,P,94.8475,2.35,0.15,1.0,0.55,0.255,0.0,0.27,0.0,0.4,0.015,0.0,0.0,0.0,0.0125,0.0,0.15,0.0,0.0,550.0,Normalizing,1040.0,1.0,3.0,Tempering,655.0,5.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,140.0,100000.0
144,A,66.93,18.0,12.0,0.0,1.2,0.12,0.6,0.8,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.3,0.0,0.0,575.0,Heat,1075.0,1.0,500.0,Dummy,30.0,1.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,155.0,10000.0
532,P,97.275,0.95,0.15,0.475,0.55,0.145,0.0,0.27,0.0,0.0,0.0175,0.0,0.0,0.0,0.0175,0.0,0.15,0.0,0.0,450.0,Normalizing,910.0,1.0,3.0,Tempering,640.0,6.8,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,340.0,10000.0
755,M,85.9675,13.0,0.0,0.0,0.4,0.205,0.0,0.4,0.0,0.0,0.015,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,500.0,Quenching,1010.0,0.7,3.0,Tempering,735.0,4.8,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,290.0,100.0
104,FM,84.577,12.0,0.6,0.5,0.5,0.185,0.0,0.5,0.3,0.23,0.03,0.003,0.0,0.0,0.025,0.0,0.0,0.55,0.0,560.0,Normalizing,1050.0,1.0,3.0,Tempering,735.0,4.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,250.0,10000.0
717,FM,84.4475,12.0,0.6,0.6,0.7,0.15,0.0,0.2,0.0,0.225,0.015,0.0,0.0,0.0,0.0125,0.0,0.15,0.9,0.0,550.0,Quenching,1000.0,0.5,120.0,Tempering,680.0,10.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,250.0,10000.0
41,P,96.985,1.05,0.25,0.3,0.55,0.115,0.0,0.27,0.0,0.225,0.03,0.0,0.0,0.0,0.025,0.0,0.2,0.0,0.0,560.0,Normalizing,965.0,1.0,3.0,Tempering,740.0,3.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,105.0,100000.0
597,P,95.8315,1.75,0.15,0.6,0.55,0.115,0.0,0.55,0.0,0.275,0.0125,0.0035,0.0,0.0,0.0125,0.0,0.15,0.0,0.0,620.0,Normalizing,965.0,1.0,3.0,Tempering,765.0,2.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,70.0,10000.0
191,A,65.205,16.0,13.5,2.25,1.0,0.09,0.0,0.8,1.1,0.0,0.035,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,600.0,Quenching,1115.0,1.9,3.0,Dummy,30.0,1.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,200.0,10000.0
47,P,96.985,1.05,0.25,0.3,0.55,0.115,0.0,0.27,0.0,0.225,0.03,0.0,0.0,0.0,0.025,0.0,0.2,0.0,0.0,580.0,Normalizing,965.0,1.0,3.0,Tempering,740.0,3.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,110.0,10000.0
80,M,84.945,13.0,0.6,0.0,0.6,0.2,0.0,0.6,0.0,0.0,0.03,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,450.0,Quenching,1010.0,0.7,3.0,Tempering,735.0,4.8,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,35.0,1000.0
110,M,89.572,7.0,0.75,0.85,0.5,0.095,0.0,0.5,0.28,0.4,0.025,0.003,0.0,0.0,0.025,0.0,0.0,0.0,0.0,565.0,Normalizing,1000.0,0.5,3.0,Tempering,720.0,3.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,158.0,100000.0
