ID,Name,Class,label,Fe,Cr,Ni,Mo,Mn,C,Ti,Si,Nb,V,P,B,Al,N,S,Co,Cu,W,As,HT stage 1 name,HT stage 1 temperature,HT stage 1 duration,HT stage 1 cooling,HT stage 2 name,HT stage 2 temperature,HT stage 2 duration,HT stage 2 cooling,HT stage 3 name,HT stage 3 temperature,HT stage 3 duration,HT stage 3 cooling,AH stage 1 temperature,AH stage 1 duration,AH stage 2 temperature,AH stage 2 duration,AH stage 3 temperature,AH stage 3 duration,AH stage 4 temperature,AH stage 4 duration,Aging temperature,Aging duration,Sort,Temperature,yeld strength,ultimate tensile strength,maximum elongation,maximum contruction,toughness,creep limit stress,equivalent creep speed,long-therm strength,long-therm strength time,hardness
63174908f9be0a8222a94ed1,13X11N2V2MF,M,1,82.95,11.25,1.65,0.425,0.6,0.13,0.0,0.6,0.0,0.24,0.03,0.0,0.0,0.0,0.025,0.0,0.3,1.8,0.0,Quenching,1000.0,0.7,120.0,Tempering,500.0,4.8,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,1190.0,1330.0,13.0,60.0,71.0,,,,,390.0
63174c89f9be0a8222a95976,12X18N9T,A,2,71.3625,18.0,8.75,0.0,1.0,0.06,0.4,0.4,0.0,0.0,0.0175,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,Heat,1150.0,1.0,500.0,Heat,500.0,10.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,20000.0,Rod,20.0,300.0,630.0,54.0,70.0,225.0,,,,,
63174c89f9be0a8222a95c3d,20XMFL,P,2,96.425,1.19,0.15,0.58,0.75,0.22,0.0,0.3,0.0,0.21,0.0125,0.0,0.0,0.0,0.0125,0.0,0.15,0.0,0.0,Normalizing,945.0,1.0,3.0,Normalizing,930.0,1.2,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,50000.0,Casting,20.0,260.0,430.0,28.0,67.0,180.0,,,,,
63174908f9be0a8222a943f2,15X12VNMF,FM,1,84.365,12.0,0.6,0.6,0.7,0.15,0.0,0.4,0.0,0.23,0.03,0.0,0.0,0.0,0.025,0.0,0.0,0.9,0.0,Quenching,1050.0,0.5,120.0,Tempering,740.0,5.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rod/L,200.0,430.0,590.0,16.0,50.0,110.0,,,,,
63174908f9be0a8222a94b7c,12X13,FM,1,84.625,13.0,0.6,0.0,0.8,0.12,0.0,0.8,0.0,0.0,0.03,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,Quenching,1025.0,0.5,120.0,Tempering,745.0,5.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,550.0,320.0,280.0,24.0,81.0,260.0,,,,,
63174908f9be0a8222a94d91,08X17T,F,1,79.56,17.0,0.6,0.0,0.8,0.08,0.8,0.8,0.0,0.0,0.035,0.0,0.0,0.0,0.025,0.0,0.3,0.0,0.0,Heat,760.0,1.0,3.0,Dummy,30.0,1.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,300.0,,330.0,32.0,,127.0,,,,,
63174c89f9be0a8222a95a01,08X18N12T,A,2,68.2325,18.0,12.0,0.0,1.0,0.04,0.3,0.4,0.0,0.0,0.0175,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,Normalizing,1075.0,0.5,3.0,Dummy,30.0,1.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,10000.0,Rod,20.0,214.0,570.0,61.0,68.0,247.0,,,,,
63174c89f9be0a8222a957c4,20X13,M,2,85.9675,13.0,0.0,0.0,0.4,0.205,0.0,0.4,0.0,0.0,0.015,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,Quenching,1010.0,0.7,3.0,Tempering,740.0,4.8,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,5000.0,Sample,20.0,500.0,690.0,20.0,62.0,108.0,,,,,
63174908f9be0a8222a943ad,15X11MF,M,1,86.495,10.55,0.29,0.66,0.7,0.15,0.0,0.5,0.0,0.3,0.03,0.0,0.0,0.0,0.025,0.0,0.3,0.0,0.0,Normalizing,1100.0,0.5,3.0,Tempering,675.0,5.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,10000.0,Rod/L,20.0,680.0,860.0,16.0,60.0,50.0,,,,,
63174c89f9be0a8222a95641,12X11V2MF,FM,2,84.585,11.0,0.3,0.75,0.65,0.115,0.0,0.25,0.0,0.225,0.0125,0.0,0.0,0.0,0.0125,0.0,0.15,1.95,0.0,Normalizing,1035.0,1.0,3.0,Tempering,725.0,3.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tube,300.0,440.0,610.0,21.0,56.0,190.0,,,,,
